Customer_ID,Customer_Name,Category,Segment,clv
AA-10315,Alex Avila,Office Supplies,potential_loyalists,705.2594335478366
AA-10375,Allen Armold,Office Supplies,champions,298.4040560375262
AA-10480,Andrew Allen,Office Supplies,at_Risk,858.9560841544592
AA-10645,Anna Andreadi,Office Supplies,loyal_customers,700.292920352541
AA-315,Alex Avila,Office Supplies,potential_loyalists,156.38812016974785
AA-375,Allen Armold,Office Supplies,hibernating,38.451908748873244
AA-480,Andrew Allen,Office Supplies,hibernating,157.62632488109475
AA-645,Anna Andreadi,Office Supplies,at_Risk,113.26042323934959
AB-10015,Aaron Bergman,Office Supplies,loyal_customers,944.9601687871105
AB-10060,Adam Bellavance,Office Supplies,loyal_customers,845.8815706059264
AB-10105,Adrian Barton,Office Supplies,loyal_customers,1033.6536175751662
AB-10150,Aimee Bixby,Office Supplies,loyal_customers,624.6731752335622
AB-10165,Alan Barnes,Office Supplies,loyal_customers,554.1808959397458
AB-10255,Alejandro Ballentine,Office Supplies,champions,501.09239606981413
AB-105,Adrian Barton,Office Supplies,about_to_sleep,142.6094514603481
AB-10600,Ann Blume,Office Supplies,need_attention,641.5846549962556
AB-15,Aaron Bergman,Office Supplies,hibernating,343.8996964822438
AB-150,Aimee Bixby,Technology,hibernating,323.0187922879668
AB-165,Alan Barnes,Office Supplies,promising,106.09145911605734
AB-255,Alejandro Ballentine,Office Supplies,about_to_sleep,336.170444731715
AB-60,Adam Bellavance,Office Supplies,need_attention,122.78969403720266
AB-600,Ann Blume,Office Supplies,new_customers,376.1058509591554
AC-10420,Alyssa Crouse,Office Supplies,champions,577.8269867537565
AC-10450,Amy Cox,Office Supplies,potential_loyalists,900.2696238889346
AC-10615,Ann Chong,Office Supplies,champions,657.5525873789979
AC-10660,Anna Chung,Office Supplies,potential_loyalists,330.47689569061305
AC-420,Alyssa Crouse,Office Supplies,potential_loyalists,105.70913598400486
AC-450,Amy Cox,Office Supplies,hibernating,81.79852249934204
AC-615,Ann Chong,Office Supplies,hibernating,140.4290492549424
AC-660,Anna Chung,Technology,hibernating,420.40063757462616
AD-10180,Alan Dominguez,Office Supplies,loyal_customers,960.1449027657186
AD-180,Alan Dominguez,Office Supplies,new_customers,181.24443553147006
AF-10870,Art Ferguson,Office Supplies,champions,1229.2250035544187
AF-10885,Art Foster,Office Supplies,cant_loose,943.721241188765
AF-870,Art Ferguson,Office Supplies,potential_loyalists,96.5649473068204
AF-885,Art Foster,Office Supplies,about_to_sleep,171.60218176689125
AG-10270,Alejandro Grove,Office Supplies,loyal_customers,541.6419500325983
AG-10300,Aleksandra Gannaway,Office Supplies,champions,620.3653981615067
AG-10330,Alex Grayson,Office Supplies,champions,761.8197288636698
AG-10390,Allen Goldenen,Office Supplies,at_Risk,427.8512553571152
AG-10495,Andrew Gjertsen,Office Supplies,cant_loose,752.2053758192219
AG-10525,Andy Gerbode,Office Supplies,potential_loyalists,418.3945057037859
AG-10675,Anna Gayman,Office Supplies,need_attention,689.1703975115282
AG-10765,Anthony Garverick,Office Supplies,loyal_customers,540.1035003774603
AG-10900,Arthur Gainer,Office Supplies,cant_loose,866.0675594447422
AG-270,Alejandro Grove,Office Supplies,potential_loyalists,172.21558438972437
AG-300,Aleksandra Gannaway,Office Supplies,hibernating,174.35307333619056
AG-330,Alex Grayson,Office Supplies,potential_loyalists,40.92708058152916
AG-390,Allen Goldenen,Office Supplies,hibernating,40.645287988793605
AG-495,Andrew Gjertsen,Office Supplies,potential_loyalists,55.79254539623673
AG-525,Andy Gerbode,Office Supplies,potential_loyalists,175.12819248471558
AG-675,Anna Gayman,Office Supplies,need_attention,133.24427824963317
AG-765,Anthony Garverick,Technology,hibernating,145.6217527704265
AG-900,Arthur Gainer,Office Supplies,hibernating,130.96431063920292
AH-10030,Aaron Hawkins,Office Supplies,loyal_customers,719.4096517437491
AH-10075,Adam Hart,Office Supplies,champions,929.3335322506437
AH-10120,Adrian Hane,Office Supplies,at_Risk,535.9020477593115
AH-10195,Alan Haines,Office Supplies,loyal_customers,598.4802666626525
AH-10210,Alan Hwang,Office Supplies,champions,951.3486049664907
AH-10465,Amy Hunt,Office Supplies,at_Risk,438.1919777961291
AH-10585,Angele Hood,Office Supplies,at_Risk,437.8359990027458
AH-10690,Anna Häberlin,Office Supplies,cant_loose,762.8543672291901
AH-120,Adrian Hane,Office Supplies,hibernating,171.93088362579851
AH-195,Alan Haines,Office Supplies,at_Risk,175.64045663926777
AH-210,Alan Hwang,Office Supplies,hibernating,285.78405652810693
AH-30,Aaron Hawkins,Office Supplies,hibernating,452.08688096993217
AH-465,Amy Hunt,Technology,hibernating,54.41721959325698
AH-585,Angele Hood,Office Supplies,at_Risk,151.04315248208349
AH-690,Anna Häberlin,Office Supplies,hibernating,152.31572602053512
AH-75,Adam Hart,Technology,about_to_sleep,211.65462689828195
AI-10855,Arianne Irving,Office Supplies,potential_loyalists,428.0243430062032
AI-855,Arianne Irving,Office Supplies,about_to_sleep,76.54667721102287
AJ-10780,Anthony Jacobs,Office Supplies,loyal_customers,868.341655041758
AJ-10795,Anthony Johnson,Office Supplies,at_Risk,424.86668400665474
AJ-10945,Ashley Jarboe,Office Supplies,cant_loose,531.6456165251566
AJ-10960,Astrea Jones,Office Supplies,need_attention,502.79959683862785
AJ-780,Anthony Jacobs,Office Supplies,potential_loyalists,157.32775160184917
AJ-795,Anthony Johnson,Office Supplies,need_attention,228.2397404479903
AJ-945,Ashley Jarboe,Office Supplies,hibernating,296.039100121999
AJ-960,Astrea Jones,Office Supplies,need_attention,263.775880670848
